Code              AZs   Official Name                 Alt References
us-east-1          3    US East (N. Virginia)         Virginia, VA, IAD
us-west-2          3    US West (Oregon)              Portland, Oregon, OR, PDX
us-west-1          3    US West (N. California)       San Francisco, California, CA, SFO
eu-west-1          3    EU (Ireland)                  Ireland, IR, DUB
eu-central-1       2    EU (Frankfurt)                Frankfurt, DE, FRA
ap-southeast-1     2    Asia Pacific (Singapore)      Singapore, SG, SIN
ap-northeast-1     3    Asia Pacific (Tokyo)          Tokyo, Japan, JP, HND
ap-southeast-2     3    Asia Pacific (Sydney)         Sydney, Australia, AU, SYD
ap-northeast-2     2    Asia Pacific (Seoul)          Seoul, South Korea, KR, ICN
sa-east-1          3    South America (Sao Paulo)     Sao Paulo, Brazil, BR, GRU
